SPEED	TORQUE
700.6871723	4.845589225
700.9163799	7.233576441
701.03229	8.911004103
700.9828791	9.545419234
700.7161236	8.804368858
700.18	6.3554
699.3606469	2.081090296
698.396852	-3.275860171
697.4655652	-8.757720703
696.7437365	-13.40676061
696.4083157	-16.26524918
696.6362527	-16.37545574
697.6044975	-12.77964958
699.49	-4.5201
702.4071333	8.996590203
706.2199638	26.90648432
710.7299808	47.98131214
715.7386741	70.99280348
721.0475331	94.71268814
726.4580474	117.9126959
731.7717065	139.3645566
736.79	157.84
741.3604097	172.4224549
745.5143867	183.4421463
749.3293747	191.5409981
752.882817	197.3609342
756.2521572	201.5438785
759.5148388	204.7317549
762.7483052	207.5664875
766.03	210.69
769.4140405	214.6064722
772.8612393	219.2691069
776.309083	224.4933624
779.6950579	230.0946973
782.9566506	235.8885701
786.0313475	241.6904391
788.8566352	247.3157629
791.37	252.58
793.5373151	257.3246248
795.4379997	261.4951761
797.1798598	265.0632084
798.8707014	268.0002765
800.6183302	270.2779351
802.5305524	271.8677387
804.7151736	272.7412421
807.28	272.87
810.3049024	272.2597159
813.7580119	271.0526887
817.5795246	269.4253663
821.7096366	267.5541965
826.0885441	265.6156272
830.656443	263.7861061
835.3535296	262.2420811
840.12	261.16
844.9065715	260.6699687
849.7060465	260.7167253
854.5217489	261.1986661
859.3570022	262.0141873
864.2151303	263.0616851
869.0994568	264.2395556
874.0133054	265.4461952
878.96	266.58
883.9445148	267.5550187
888.978427	268.34791
894.0749644	268.9509848
899.2473546	269.3565543
904.5088255	269.5569295
909.8726049	269.5444214
915.3519204	269.3113413
920.96	268.85
926.6982208	268.1841361
932.5205579	267.4631973
938.3691359	266.8680587
944.1860794	266.5795956
949.913513	266.778683
955.4935612	267.6461961
960.8683487	269.3630101
965.98	272.11
970.8222896	275.9658979
975.5955915	280.6008635
980.5519296	285.5829131
985.9433278	290.4800634
992.02181	294.8603307
999.0394002	298.2917316
1007.248122	300.3422825
1016.9	300.58
1028.170668	298.7286394
1040.930201	295.1349113
1054.972286	290.3012653
1070.090609	284.7301509
1086.078856	278.9240176
1102.730713	273.385315
1119.839865	268.6164927
1137.2	265.12
1154.622461	263.2546228
1171.989229	262.8044914
1189.19994	263.4100727
1206.154234	264.7118331
1222.751749	266.3502394
1238.892123	267.9657582
1254.474994	269.1988562
1269.4	269.69
1283.568784	269.2001157
1296.89101	267.9719667
1309.278343	266.3687761
1320.642453	264.7537667
1330.895006	263.4901614
1339.94767	262.9411833
1347.712112	263.4700552
1354.1	265.44
1359.085018	269.0716724
1362.88892	274.0154543
1365.795475	279.779159
1368.088453	285.8706002
1370.051625	291.7975914
1371.96876	297.067946
1374.123628	301.1894777
1376.8	303.67
1380.179228	304.1908899
1384.032997	303.1277787
1388.030576	301.0298613
1391.841233	298.4463325
1395.134236	295.9263872
1397.578852	294.0192201
1398.844351	293.2740261
1398.6	294.24
1396.614085	297.2999437
1393.050965	302.171087
1388.174016	308.4042667
1382.246614	315.5503197
1375.532135	323.1600827
1368.293955	330.7843925
1360.795452	337.974086
1353.3	344.28
1346.017946	349.3669719
1338.947517	353.3558419
1332.033907	356.4814506
1325.222312	358.9786387
1318.457928	361.082247
1311.685951	363.0271162
1304.851577	365.0480869
1297.9	367.38
1290.787566	370.1866607
1283.515217	373.3477329
1276.095044	376.671845
1268.539138	379.9676254
1260.859589	383.0437027
1253.068489	385.7087053
1245.177929	387.7712615
1237.2	389.04
1229.09507	389.2716977
1220.616614	388.0157266
1211.466385	384.7696071
1201.346137	379.0308596
1189.957622	370.2970046
1177.002592	358.0655627
1162.1828	341.8340544
1145.2	321.1
1125.955925	295.6259272
1105.152234	266.234392
1083.690567	234.0129573
1062.472564	200.0491863
1042.399866	165.430642
1024.374113	131.2448875
1009.296944	98.57948581
998.07	68.522
991.3623832	41.97363639
988.9130447	19.09017432
990.2283976	-0.158963603
994.8148554	-15.80435478
1002.178831	-27.87657661
1011.826738	-36.40620649
1023.26499	-41.42382182
1036	-42.96
1049.584992	-41.1046212
1063.760431	-36.18477674
1078.313596	-28.5868607
1093.031764	-18.69726718
1107.702211	-6.902390253
1122.112215	6.411375976
1136.049052	20.85763742
1149.3	36.05
1161.658803	51.63189139
1172.945074	67.36602639
1182.984893	83.04494156
1191.604339	98.46117349
1198.629493	113.4072587
1203.886434	127.6757338
1207.201243	141.0591354
1208.4	153.35
1207.354406	164.3065283
1204.118648	173.5495774
1198.792537	180.6656687
1191.475881	185.2413232
1182.26849	186.8630624
1171.270173	185.1174074
1158.58074	179.5908795
1144.3	169.87
1128.613614	155.8177806
1112.050646	138.4031951
1095.226016	118.871708
1078.754638	98.46878358
1063.251431	78.4398862
1049.331311	60.03048023
1037.609195	44.48603004
1028.7	33.052
1023.037039	26.6689646
1020.327204	25.05793891
1020.095784	27.63504813
1021.868067	33.81641746
1025.169342	43.01817211
1029.524897	54.65643728
1034.46002	68.14733818
1039.5	82.907
