SPEED	TORQUE
698.9241816	-5.25526225
698.98	-4.9916
699.0491648	-4.238702358
699.1278636	-3.097618031
699.2118058	-1.706734667
699.2967009	-0.204439916
699.3782584	1.270878574
699.4521877	2.580833156
699.5141984	3.587036181
699.56	4.1511
699.5862823	4.176361416
699.593657	3.733055033
699.5837161	2.933139904
699.5580517	1.888575086
699.5182558	0.711319632
699.4659205	-0.486667403
699.4026379	-1.593426966
699.33	-2.497
699.250081	-3.110812251
699.1668835	-3.449828662
699.0848924	-3.554398974
699.0085925	-3.464872928
698.9424685	-3.221600266
698.8910052	-2.86493073
698.8586874	-2.435214061
698.85	-1.9728
698.8677102	-1.511229012
698.9077152	-1.056804446
698.9641947	-0.609020376
699.0313285	-0.167370874
699.1032962	0.268649987
699.1742775	0.699548135
699.2384522	1.125829497
699.29	1.548
699.3244103	1.960150759
699.342412	2.330713634
699.3460436	2.621705673
699.3373437	2.795143924
699.3183508	2.813045435
699.2911035	2.637427253
699.2576404	2.230306425
699.22	1.5537
699.1804688	0.595634766
699.1423242	-0.551823527
699.1090918	-1.770599388
699.0842968	-2.942617324
699.0714648	-3.949801845
699.0741211	-4.674077458
699.095791	-4.997368674
699.14	-4.8016
699.2085779	-4.01377068
699.2965724	-2.741178899
699.3973354	-1.136197576
699.504219	0.648800371
699.6105752	2.461442021
699.7097561	4.149354455
699.7951137	5.560164755
699.86	6.5415
699.8994578	6.981121784
699.9152926	6.927329749
699.9110004	6.468558049
699.8900774	5.69324084
699.8560197	4.689812276
699.8123235	3.546706511
699.7624849	2.352357701
699.71	1.1952
699.6579072	0.151331006
699.6074136	-0.752497908
699.5592687	-1.501871926
699.5142216	-2.082376231
699.4730219	-2.479596007
699.4364188	-2.679116439
699.4051617	-2.666522708
699.38	-2.4274
699.3613548	-1.962257136
699.3483341	-1.331297492
699.3397179	-0.60964808
699.3342861	0.127564084
699.3308185	0.805211988
699.3280951	1.348168618
699.3248956	1.68130696
699.32	1.7295
699.3127285	1.443494608
699.3045624	0.877533187
699.2975237	0.11173202
699.2936339	-0.773792606
699.2949149	-1.698924406
699.3033884	-2.583547095
699.3210762	-3.347544388
699.35	-3.9108
699.3913447	-4.211958406
699.4429474	-4.26470713
699.5018085	-4.101494453
699.5649283	-3.754768661
699.629307	-3.256978036
699.691945	-2.640570862
699.7498426	-1.937995422
699.8	-1.1817
699.8400179	-0.402358443
699.8698979	0.376453145
699.8902423	1.132933098
699.9016529	1.84527975
699.904732	2.491691433
699.9000815	3.05036648
699.8883034	3.499503224
699.87	3.8173
699.8459862	3.98721386
699.8179296	4.013736737
